I0,left-brace,I2,0
I1,$,acc,2
I2,right-brace,I3,0,string,I4,0
I3,$,1,1
I4,colon,I6,0
I5,right-brace,I43,0
I6,string,I8,0,number,I9,0,true,I10,0,false,I11,0,null,I12,0,left-bracket,I15,0,left-brace,I16,0
I7,right-brace,4,1,comma,I17,0
I8,right-brace,5,1,comma,5,1
I9,right-brace,6,1,comma,6,1
I10,right-brace,9,1,comma,9,1
I11,right-brace,10,1,comma,10,1
I12,right-brace,11,1,comma,11,1
I13,right-brace,8,1,comma,8,1
I14,right-brace,7,1,comma,7,1
I15,right-bracket,I19,0,left-bracket,I20,0,left-brace,I30,0,string,I23,0,number,I24,0,true,I25,0,false,I26,0,null,I27,0
I16,right-brace,I31,0,string,I4,0
I17,string,I4,0
I18,right-brace,3,1
I19,right-brace,12,1,comma,12,1
I20,right-bracket,I33,0,string,I23,0,number,I24,0,true,I25,0,false,I26,0,null,I27,0
I21,right-bracket,I35,0
I22,right-bracket,15,1,comma,I36,0
I23,right-bracket,5,1,comma,5,1
I24,right-bracket,6,1,comma,6,1
I25,right-bracket,9,1,comma,9,1
I26,right-bracket,10,1,comma,10,1
I27,right-bracket,11,1,comma,11,1
I28,right-bracket,8,1,comma,8,1
I29,right-bracket,7,1,comma,7,1
I30,right-bracket,I37,0,string,I4,0
I31,right-bracket,1,1,comma,1,1
I32,right-bracket,I39,0
I33,right-bracket,12,1,comma,12,1
I34,right-bracket,I40,0
I35,right-brace,13,1,comma,13,1
I36,left-bracket,I20,0,left-brace,I30,0,string,I23,0,number,I24,0,true,I25,0,false,I26,0,null,I27,0
I37,right-bracket,1,1,comma,1,1
I38,right-brace,I44,0
I39,right-brace,2,1,comma,2,1
I40,right-bracket,13,1,comma,13,1
I41,right-bracket,14,1
I42,right-bracket,15,1,comma,I36,0
I43,$,2,1
I44,right-bracket,2,1,comma,2,1

